Id,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Farge,Hjuldrift,Effekt,Sylindervolum,Vekt,CO2utslipp,AntallSeter,Karosseri,AntallDører,AntallEiere,Avgiftsklasse,Maksimaltilhengervekt,SalePrice
177,338288601,2004,103000,Manuell,Bensin,Sølv,Forhjulsdrift,75,1.4,1322,166,5,KombiFemdørs,4,8,Personbil,1000,16845
178,337974043,2007,193624,Manuell,Diesel,Grå,Forhjulsdrift,110,1.7,1310,146,5,KombiFemdørs,5,2,Personbil,1400,19845
179,337938361,2004,350000,Manuell,Diesel,Grå,Forhjulsdrift,136,2.0,1387,148,5,Sedan,4,7,Personbil,1500,15845
180,337842234,2006,268000,Manuell,Bensin,Grå,Forhjulsdrift,80,1.4,1185,168,5,KombiFemdørs,5,1,Personbil,1000,19990
181,337845573,2004,163326,Manuell,Diesel,Gull,Bakhjulsdrift,82,2.0,1250,128,5,Flerbruksbil,5,4,Personbil,1000,16845
182,337819011,2007,195433,Manuell,Bensin,Sølv,Forhjulsdrift,98,1.6,1695,163,5,Sedan,4,6,Personbil,1200,19845
183,327678481,2008,269800,Manuell,Diesel,Svart,Firehjulsdrift,140,2.0,1609,182,5,Stasjonsvogn,5,5,Personbil,2000,19127
184,337590305,2004,148575,Manuell,Bensin,Rød,Forhjulsdrift,87,1.6,1275,180,5,Flerbruksbil,4,4,Personbil,1200,16845
185,337526382,2008,235000,Manuell,Bensin,Svart,Forhjulsdrift,69,1.2,1125,140,5,KombiFemdørs,5,6,Personbil,800,19845
186,337524612,2011,282000,Manuell,Diesel,Hvit,Forhjulsdrift,116,1.6,1570,114,5,Stasjonsvogn,4,4,Personbil,1600,19845
