id,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Hjuldrift,Effekt,Vekt,AntallSeter,Karosseri,AntallDører,Avgiftsklasse,Maksimaltilhengervekt,SalePrice
133,327965364,2004,175000,Manuell,Bensin,Forhjulsdrift,122,1375,5,Sedan,5,Personbil,1400,12000
134,325881927,2004,310000,Manuell,Bensin,Forhjulsdrift,116,1550,5,Sedan,4,Personbil,1300,11277
135,324810711,2010,246468,Manuell,Diesel,Firehjulsdrift,150,1571,5,Stasjonsvogn,5,Personbil,1700,11777
136,322694272,1998,350000,Automat,Bensin,Bakhjulsdrift,224,1695,5,Sedan,4,Personbil,2100,13777
137,322689565,1993,271000,Automat,Bensin,Bakhjulsdrift,136,1400,5,Sedan,4,Personbil,1400,11777
138,317723015,2006,283000,Automat,Bensin,Forhjulsdrift,165,1625,7,Stasjonsvogn,5,Personbil,1885,14900
139,317631626,2007,263500,Manuell,Diesel,Forhjulsdrift,125,1744,7,KombiFemdørs,4,Personbil,1450,11777
140,326202158,2005,225474,Manuell,Diesel,Bakhjulsdrift,109,1360,5,Flerbruksbil,5,Personbil,1500,16777
141,341455773,2003,326021,Manuell,Diesel,Forhjulsdrift,102,1710,3,Kasse,5,Varebil,2000,16231
142,341462736,2004,250321,Manuell,Diesel,Firehjulsdrift,101,1512,5,Stasjonsvogn,4,Personbil,1500,15845
143,341273953,2007,267300,Manuell,Diesel,Forhjulsdrift,105,1455,2,Kasse,4,Varebil,1500,19845
144,341443455,2008,132000,Manuell,Bensin,Forhjulsdrift,69,1091,5,KombiFemdørs,4,Personbil,800,19500
145,341426530,2005,207789,Manuell,Bensin,Forhjulsdrift,125,1299,5,Stasjonsvogn,5,Personbil,1300,16845
146,341281873,2003,421000,Automat,Diesel,Forhjulsdrift,131,1567,5,Sedan,4,Personbil,1800,17845
147,341267824,2005,119315,Automat,Bensin,Forhjulsdrift,150,1580,5,Stasjonsvogn,5,Personbil,1800,19845
148,341223804,2008,158708,Manuell,Diesel,Forhjulsdrift,90,1280,5,Sedan,4,Personbil,1150,18745
149,341273325,2009,242000,Manuell,Diesel,Forhjulsdrift,150,1578,5,SUV,5,Personbil,1400,20000
150,341263024,2007,259044,Manuell,Diesel,Forhjulsdrift,105,1625,5,Stasjonsvogn,5,Personbil,1500,18845
151,341240236,2003,150000,Manuell,Diesel,Firehjulsdrift,114,1525,5,SUV,4,Personbil,2000,17000
152,341218004,2008,277000,Manuell,Diesel,Forhjulsdrift,109,1275,5,KombiFemdørs,5,Personbil,1300,18845
153,341219456,2000,105000,Manuell,Bensin,Forhjulsdrift,68,865,5,KombiFemdørs,4,Personbil,650,16845
154,341208285,2005,156813,Manuell,Bensin,Forhjulsdrift,91,1065,5,Sedan,4,Personbil,1000,18800
155,341202275,2011,256864,Manuell,Diesel,Forhjulsdrift,116,1570,5,Stasjonsvogn,4,Personbil,1600,18000
156,341182604,2011,154300,Automat,Bensin,Forhjulsdrift,95,975,5,KombiFemdørs,4,Personbil,1000,19845
157,340727159,2008,347000,Manuell,Diesel,Forhjulsdrift,126,1622,5,Stasjonsvogn,5,Personbil,1800,18845
158,341132002,2004,149400,Manuell,Bensin,Forhjulsdrift,75,1322,5,KombiFemdørs,5,Personbil,1000,15845
159,341133137,2008,269676,Manuell,Bensin,Forhjulsdrift,116,1310,5,KombiFemdørs,4,Personbil,1300,17845
160,341136874,2008,200000,Manuell,Bensin,Forhjulsdrift,80,1228,5,KombiFemdørs,5,Personbil,1000,19000
161,341129800,2002,201170,Manuell,Bensin,Forhjulsdrift,68,850,5,KombiTredørs,3,Personbil,650,16845
162,341126322,2008,298000,Manuell,Diesel,Forhjulsdrift,105,1552,5,Stasjonsvogn,5,Personbil,1200,18500
163,336249461,2003,242000,Automat,Bensin,Bakhjulsdrift,163,1670,5,Stasjonsvogn,5,Personbil,2100,15845
164,340060590,2007,266000,Manuell,Bensin,Forhjulsdrift,75,1030,5,KombiFemdørs,4,Personbil,900,19345
165,340997492,2009,290000,Manuell,Bensin,Forhjulsdrift,95,975,5,KombiFemdørs,5,Personbil,1000,18845
166,340396481,1999,207000,Manuell,Bensin,Forhjulsdrift,116,1228,4,Coupe,3,Personbil,1000,16845
167,340972845,2006,85250,Manuell,Bensin,Forhjulsdrift,67,830,4,KombiFemdørs,5,Personbil,1000,19900
168,322889388,1985,136000,Automat,Bensin,Bakhjulsdrift,115,1270,5,KombiFemdørs,5,Personbil,1270,17000
169,340933587,2007,201000,Automat,Diesel,Forhjulsdrift,105,1654,7,Flerbruksbil,5,Personbil,1500,16845
170,336347055,1998,331000,Manuell,Diesel,Forhjulsdrift,102,1810,6,Kasse,3,Personbil,2000,20000
171,340896121,2002,166050,Manuell,Bensin,Forhjulsdrift,98,1175,5,Stasjonsvogn,5,Personbil,1200,16845
172,340900915,2008,316000,Automat,Diesel,Forhjulsdrift,140,1519,5,Stasjonsvogn,5,Personbil,1800,15845
173,340900847,2010,144000,Manuell,Bensin,Forhjulsdrift,69,890,5,KombiFemdørs,5,Personbil,750,16845
