,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Omregistrering,Årsavgift,1. gang registrert,Farge,Hjuldrift,Effekt,Sylindervolum,Vekt,CO2-utslipp,Antall seter,Karosseri,Antall dører,Antall eiere,Bilen står i,Salgsform,Avgiftsklasse,Reg.nr.,Chassis nr. (VIN),Maksimal tilhengervekt
6950,342303693,2013,166 000 km,Automat,Diesel,1 845 kr (avgifter),Les mer,28.12.2012,Grå,Firehjulsdrift,170 Hk,"2,1 l",1 805 kg,159 g/km,5,SUV/Offroad,5,2,Norge,Bruktbil til salgs,Personbil,KB42172,WDC2049841G041187,2 400 kg
6952,342300168,2013,142 642 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,28.11.2012,Grå,Firehjulsdrift,150 Hk,"2,3 l",1 590 kg,140 g/km,7,SUV/Offroad,5,1,Norge,Bruktbil til salgs,Personbil,CF67251,JMBXJGF6WDZ401628,2 000 kg
6961,342284927,2013,132 780 km,Automat,Diesel,4 305 kr (avgifter),Les mer,12.06.2013,Svart,Bakhjulsdrift,170 Hk,"2,1 l",1 770 kg,141 g/km,5,Stasjonsvogn,5,8,Norge,Bruktbil til salgs,Personbil,BS72966,WDD2122021A776708,2 100 kg
6964,342283173,2014,179 000 km,Automat,Diesel,4 305 kr (avgifter),Les mer,15.08.2014,Grå,Firehjulsdrift,177 Hk,2 l,1 820 kg,159 g/km,5,SUV/Offroad,5,2,Norge,Bruktbil til salgs,Personbil,DP57037,WAUZZZ8R6EA082108,2 000 kg
6966,342275333,2014,135 000 km,Automat,Diesel,4 305 kr (avgifter),Les mer,04.07.2014,Grå,Bakhjulsdrift,170 Hk,"2,1 l",1 770 kg,140 g/km,5,Stasjonsvogn,5,4,Norge,Bruktbil til salgs,Personbil,UF64203,WDD2122021A891576,2 100 kg
6972,342410847,2015,132 232 km,Automat,Diesel,4 305 kr (avgifter),Les mer,10.04.2015,Grå,Firehjulsdrift,163 Hk,2 l,1 840 kg,127 g/km,5,Stasjonsvogn,5,4,Norge,Bruktbil til salgs,Personbil,BT22722,WBA5L5104FG087407,2 000 kg
6989,342214683,2013,185 313 km,Automat,Diesel,Fritatt (avgifter),Les mer,22.09.2014,Grå,Firehjulsdrift,150 Hk,"2,2 l",1 495 kg,144 g/km,5,SUV/Offroad,5,1,Norge,Bruktbil til salgs,Personbil,SV54902,JMZKEN91800225922,2 000 kg
7013,342177940,2013,229 910 km,Manuell,Diesel,4 305 kr (avgifter),Les mer,12.03.2013,Hvit,Firehjulsdrift,184 Hk,2 l,1 575 kg,133 g/km,5,Stasjonsvogn,5,3,Norge,Bruktbil til salgs,Personbil,BT12453,WBA3K51020F194804,1 600 kg
7016,342167105,2013,200 000 km,Automat,Diesel,4 305 kr (avgifter),Les mer,26.02.2013,Brun,Firehjulsdrift,177 Hk,2 l,1 820 kg,159 g/km,5,SUV/Offroad,5,3,Norge,Bruktbil til salgs,Personbil,SV37166,WAUZZZ8R6DA060477,2 000 kg
7071,342333858,2022,13 695 km,Automat,Diesel,2 336 kr (avgifter),Les mer,29.09.2022,Grå,Forhjulsdrift,131 Hk,"1,5 l",1 473 kg,154 g/km,3,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,KJ57798,YAREFYHZ3GJ991118,1 000 kg
7150,342292015,2022,68 000 km,Automat,Diesel,2 336 kr (avgifter),Les mer,09.03.2022,Svart,Firehjulsdrift,150 Hk,2 l,2 092 kg,213 g/km,3,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,BU31455,WV1ZZZ7HZNX018352,2 500 kg
7182,342279343,2022,38 422 km,Automat,Diesel,2 336 kr (avgifter),Les mer,27.10.2022,Svart,Firehjulsdrift,204 Hk,"2,8 l",2 140 kg,256 g/km,2,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,HZ34652,JTEBR3FJ60K262766,3 000 kg
7203,342451070,2020,108 400 km,Automat,Diesel,1 476 kr (avgifter),Les mer,02.06.2020,Sølv,Firehjulsdrift,163 Hk,"1,9 l",1 910 kg,205 g/km,2,Pickup,4,1,Norge,Bruktbil til salgs,Varebil,HB85750,MPATFS87JKT014582,3 500 kg
7211,255402472,2020,32 000 km,Automat,Bensin,6 868 kr (avgifter),Les mer,11.12.2020,Blå,Firehjulsdrift,280 Hk,2 l,1 530 kg,194 g/km,5,Sedan,4,1,Norge,Bruktbil til salgs,Personbil,PR59266,ZAREAFDN5L7640752,1 600 kg
7233,342370581,2020,69 000 km,Automat,Diesel,2 336 kr (avgifter),Les mer,30.06.2020,Blå,Firehjulsdrift,258 Hk,3 l,2 053 kg,232 g/km,2,Pickup,4,1,Norge,Bruktbil til salgs,Varebil,UF87410,WV1ZZZ2HZLH020596,3 500 kg
7235,342357892,2020,58 570 km,Automat,Diesel,4 305 kr (avgifter),Les mer,21.02.2020,Rød,Forhjulsdrift,131 Hk,"1,5 l",1 430 kg,129 g/km,5,Stasjonsvogn,5,1,Norge,Bruktbil til salgs,Personbil,VJ19146,VR3FCYHZRLY006709,1 500 kg
7290,342325867,2020,24 000 km,Automat,Diesel,1 476 kr (avgifter),Les mer,29.12.2020,Svart,Forhjulsdrift,170 Hk,2 l,1 815 kg,199 g/km,3,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,PR60137,VF1FL000666222158,1 650 kg
7296,342320691,2020,56 200 km,Automat,Diesel,1 476 kr (avgifter),Les mer,10.03.2020,Svart,Firehjulsdrift,150 Hk,2 l,1 932 kg,192 g/km,2,Kasse,4,1,Norge,Bruktbil til salgs,Varebil,PR56736,WV1ZZZ7HZLH042593,2 500 kg
7314,342309942,2020,72 400 km,Automat,Diesel,4 305 kr (avgifter),Les mer,16.12.2019,Blå,Firehjulsdrift,190 Hk,2 l,1 615 kg,151 g/km,5,SUV/Offroad,5,2,Norge,Bruktbil til salgs,Personbil,AY41188,WBA31AE04L3L60848,2 000 kg
7339,342298515,2020,37 000 km,Automat,Diesel,4 305 kr (avgifter),Les mer,28.02.2020,Svart,Firehjulsdrift,190 Hk,2 l,1 615 kg,150 g/km,5,SUV/Offroad,5,1,Norge,Bruktbil til salgs,Personbil,UF91414,WBA31AE06L3L93446,2 000 kg
7358,342287289,2020,84 827 km,Automat,Diesel,1 476 kr (avgifter),Les mer,13.02.2020,Grå,Firehjulsdrift,150 Hk,2 l,1 881 kg,212 g/km,3,Kasse,4,1,Norge,Bruktbil til salgs,Varebil,RZ43278,WV1ZZZ7HZLH023789,2 500 kg
7361,342285944,2020,105 600 km,Automat,Diesel,1 476 kr (avgifter),Les mer,23.12.2019,Svart,Firehjulsdrift,150 Hk,2 l,1 661 kg,155 g/km,2,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,BE22550,WV1ZZZ2KZLX025544,1 450 kg
7373,342276796,2020,52 400 km,Automat,Bensin,3 074 kr (avgifter),Les mer,10.07.2020,Rød,Forhjulsdrift,100 Hk,"1,2 l",1 090 kg,133 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,TV96711,VR3UPHNKSLT028512,1 200 kg
7409,342218304,2020,56 000 km,Automat,El + Bensin,4 305 kr (avgifter),Les mer,09.07.2020,Sølv,Forhjulsdrift,170 Hk,"1,8 l",1 290 kg,103 g/km,5,Stasjonsvogn,5,2,Norge,Bruktbil til salgs,Personbil,XN45336,SB1Z93BE00E120864,750 kg
7450,342198503,2020,132 000 km,Automat,Diesel,4 305 kr (avgifter),Les mer,06.03.2020,Svart,Firehjulsdrift,190 Hk,2 l,1 747 kg,175 g/km,5,Stasjonsvogn,5,2,Norge,Bruktbil til salgs,Personbil,CH12261,TMBLJ9NP6L7046125,2 200 kg
7474,342192105,2020,65 452 km,Automat,Diesel,4 305 kr (avgifter),Les mer,19.06.2020,Hvit,Firehjulsdrift,184 Hk,2 l,1 560 kg,163 g/km,5,Stasjonsvogn,5,1,Norge,Bruktbil til salgs,Personbil,AE60111,TMBLK9NEXL0140772,2 000 kg
7493,342178610,2020,94 930 km,Automat,Bensin,1 476 kr (avgifter),Les mer,31.01.2020,Sølv,Forhjulsdrift,130 Hk,"1,4 l",1 278 kg,142 g/km,2,Kasse,2,1,Norge,Bruktbil til salgs,Varebil,KZ66424,WV1ZZZ2KZLX038900,1 500 kg
7501,342176070,2020,64 757 km,Automat,El + Diesel,4 305 kr (avgifter),Les mer,25.09.2019,Hvit,Firehjulsdrift,136 Hk,"1,6 l",1 625 kg,127 g/km,5,SUV/Offroad,5,2,Norge,Bruktbil til salgs,Personbil,CH10120,TMAJ3817HLJ949655,1 600 kg
7520,342159830,2020,44 200 km,Automat,Diesel,2 336 kr (avgifter),Les mer,24.07.2020,Svart,Forhjulsdrift,156 Hk,"2,3 l",2 239 kg,276 g/km,3,Annet,6,6,Norge,Bruktbil til salgs,Varebil,SX15521,ZCFC735B305320073,3 500 kg
7527,342161846,2020,14 900 km,Automat,El + Bensin,4 305 kr (avgifter),Les mer,24.11.2020,Grå,Firehjulsdrift,306 Hk,"2,5 l",1 930 kg,22 g/km,5,SUV/Offroad,5,1,Norge,Bruktbil til salgs,Personbil,BU20933,JTMGBRFV40D004576,1 500 kg
7544,342155224,2020,65 800 km,Automat,Diesel,4 305 kr (avgifter),Les mer,04.08.2020,Hvit,Firehjulsdrift,190 Hk,2 l,1 805 kg,162 g/km,5,Stasjonsvogn,5,2,Norge,Bruktbil til salgs,Personbil,DR84337,WBA31DX07LCD61087,2 000 kg
7554,342150269,2020,55 100 km,Automat,El + Bensin,7 129 kr (avgifter),Les mer,11.03.2021,Grå,Firehjulsdrift,224 Hk,"2,4 l",1 890 kg,40 g/km,5,SUV/Offroad,5,1,Norge,Bruktbil til salgs,Personbil,UF89557,JMBXDGG3WLZ041635,1 500 kg
7564,342131843,2020,142 377 km,Automat,Diesel,4 305 kr (avgifter),Les mer,02.07.2020,Svart,Firehjulsdrift,184 Hk,2 l,1 569 kg,164 g/km,5,Stasjonsvogn,5,1,Norge,Bruktbil til salgs,Personbil,DR83195,TMBLK9NE8L0178274,2 000 kg
7576,342107315,2020,23 625 km,Automat,Bensin,3 074 kr (avgifter),Les mer,21.11.2019,Sølv,Forhjulsdrift,100 Hk,1 l,1 169 kg,125 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,SD93974,WF0JXXGAHJKU78971,1 000 kg
7604,342083041,2020,52 300 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,10.09.2020,Grå,Forhjulsdrift,100 Hk,"1,5 l",1 367 kg,108 g/km,3,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,NF98786,VR7EFYHYCLJ771813,1 350 kg
7613,342076707,2020,17 526 km,Automat,Bensin,7 129 kr (avgifter),Les mer,21.04.2021,Svart,Forhjulsdrift,125 Hk,1 l,1 296 kg,141 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,BU24272,WF0NXXGCHNLK11744,1 300 kg
7615,342074899,2020,61 016 km,Automat,Diesel,1 476 kr (avgifter),Les mer,16.01.2020,Hvit,Firehjulsdrift,150 Hk,2 l,1 591 kg,184 g/km,2,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,DR76260,WV1ZZZ2KZLX049521,1 500 kg
7620,342072072,2020,31 000 km,Automat,Bensin,3 074 kr (avgifter),Les mer,30.01.2020,Grå,Forhjulsdrift,101 Hk,"1,2 l",1 164 kg,134 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,FT65642,VXKUPHNKSL4039965,1 200 kg
7652,342030875,2020,35 000 km,Automat,Diesel,1 476 kr (avgifter),Les mer,27.02.2020,Grå,Firehjulsdrift,213 Hk,2 l,2 214 kg,199 g/km,2,Pickup,4,1,Norge,Bruktbil til salgs,Varebil,NF97274,6FPPXXMJ2PKM72374,3 500 kg
