,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Omregistrering,Årsavgift,1. gang registrert,Farge,Hjuldrift,Effekt,Sylindervolum,Vekt,CO2-utslipp,Antall seter,Karosseri,Antall dører,Antall eiere,Bilen står i,Salgsform,Avgiftsklasse,Reg.nr.,Chassis nr. (VIN),Maksimal tilhengervekt
7910,341775742,2020,43 000 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,05.10.2020,Hvit,Forhjulsdrift,122 Hk,2 l,1 685 kg,148 g/km,3,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,BU19150,VF7VFAHKKLZ057773,2 500 kg
7949,342026934,2022,31 000 km,Manuell,Diesel,2 336 kr (avgifter),Les mer,29.04.2022,Hvit,Forhjulsdrift,102 Hk,"1,5 l",1 478 kg,143 g/km,3,Kasse,4,1,Norge,Bruktbil til salgs,Varebil,RL59872,VR3EFYHT2MJ916758,1 200 kg
7959,342357134,2019,40 823 km,Automat,El + Bensin,4 305 kr (avgifter),Les mer,19.09.2019,Sølv,Forhjulsdrift,170 Hk,"1,8 l",1 285 kg,83 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,YF16076,SB1K93BE40E058242,750 kg
7988,341525930,2019,102 000 km,Automat,Diesel,1 476 kr (avgifter),Les mer,25.03.2019,Blå,Firehjulsdrift,163 Hk,"1,9 l",1 920 kg,205 g/km,2,Pickup,4,4,Norge,Bruktbil til salgs,Varebil,AY39651,MPATFS87JJT000952,3 500 kg
7992,342506638,2020,54 000 km,Automat,Diesel,1 476 kr (avgifter),Les mer,30.01.2020,Sølv,Firehjulsdrift,150 Hk,2 l,2 045 kg,237 g/km,3,Kasse,2,2,Norge,Bruktbil til salgs,Varebil,BU14753,WV1ZZZ7HZLH018485,2 500 kg
8013,342441925,2021,33 000 km,Automat,Diesel,2 336 kr (avgifter),Les mer,11.01.2021,Hvit,Firehjulsdrift,150 Hk,2 l,1 932 kg,237 g/km,3,Kasse,6,1,Norge,Bruktbil til salgs,Varebil,BU22302,WV1ZZZ7HZMH052518,2 500 kg
8046,342523224,2017,176 400 km,Automat,Diesel,4 305 kr (avgifter),Les mer,11.07.2016,Rød,Firehjulsdrift,220 Hk,"2,4 l",1 723 kg,149 g/km,5,SUV/Offroad,5,2,Norge,Bruktbil til salgs,Personbil,YA68609,YV1DZ97C6H2020806,2 000 kg
8056,342547000,2011,110 000 km,Manuell,Bensin,1 845 kr (avgifter),Les mer,25.03.2011,Rød,Forhjulsdrift,101 Hk,"1,4 l",1 437 kg,129 g/km,5,Sedan,4,3,Norge,Bruktbil til salgs,Personbil,RK29400,W0LPD6EB4BG094649,850 kg
8063,342519176,2012,106 100 km,Manuell,Bensin,1 845 kr (avgifter),Les mer,27.07.2012,Sølv,Forhjulsdrift,95 Hk,"1,3 l",975 kg,119 g/km,5,Kombi 5-dørs,4,5,Norge,Bruktbil til salgs,Personbil,AA61495,XMCXNZ33ACF000355,1 000 kg
8071,342258333,2012,148 300 km,Manuell,Diesel,4 305 kr (avgifter),Les mer,14.06.2012,Blå,Forhjulsdrift,105 Hk,"1,6 l",1 243 kg,107 g/km,5,Kombi 5-dørs,5,4,Norge,Bruktbil til salgs,Personbil,NF55755,WVWZZZ1KZCW139751,1 400 kg
8075,342481210,2010,280 000 km,Manuell,Diesel,Fritatt (avgifter),Les mer,06.04.2010,Grå,Firehjulsdrift,150 Hk,2 l,1 580 kg,179 g/km,7,Flerbruksbil,5,4,Norge,Bruktbil til salgs,Personbil,KB39041,SJNJDNJ10U7000741,1 400 kg
8079,342471807,2011,204 500 km,Automat,Diesel,1 845 kr (avgifter),Les mer,27.06.2011,Grå,Bakhjulsdrift,204 Hk,3 l,1 770 kg,162 g/km,5,Stasjonsvogn,5,4,Norge,Bruktbil til salgs,Personbil,BS64653,WBAMX31030C798230,2 000 kg
8080,342461708,2010,103 000 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,22.03.2010,Sølv,Forhjulsdrift,68 Hk,"1,4 l",1 105 kg,110 g/km,5,Kombi 5-dørs,5,2,Norge,Bruktbil til salgs,Personbil,RK14767,WF0JXXGAJJAY13555,750 kg
8094,334902406,2019,88 240 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,04.06.2019,Svart,Forhjulsdrift,99 Hk,"1,6 l",1 396 kg,110 g/km,3,Kasse,4,6,Norge,Bruktbil til salgs,Varebil,BT97276,VF37FBHY6JJ560228,1 200 kg
