Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Omregistrering,1. gang registrert,Farge,Hjuldrift,Effekt,Sylindervolum,Vekt,CO2-utslipp,Antall seter,Karosseri,Antall dører,Antall eiere,Bilen står i,Salgsform,Avgiftsklasse,Reg.nr.,Chassis nr. (VIN),Maksimal tilhengervekt
342052283,2020,27 600 km,Manuell,Bensin,1 476 kr (avgifter),23.09.2020,Hvit,Forhjulsdrift,100 Hk,1 l,1 320 kg,163 g/km,2,Kasse,4,1,Norge,Bruktbil til salgs,Varebil,SX16155,WF0WXXTACWLR13747,850 kg
342058319,2020,131 041 km,Automat,Diesel,1 476 kr (avgifter),02.04.2020,Oransje,Firehjulsdrift,150 Hk,2.4 l,2 110 kg,183 g/km,2,Pickup,4,1,Norge,Bruktbil til salgs,Varebil,KU10004,AHTBB3CD601766086,3 050 kg
342061423,2019,53 300 km,Automat,Diesel,1 476 kr (avgifter),12.06.2019,Hvit,Firehjulsdrift,150 Hk,2 l,1 942 kg,188 g/km,3,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,KB49712,WV1ZZZ7HZKH133524,2 500 kg
342053483,2019,94 194 km,Automat,El + Bensin,4 305 kr (avgifter),31.07.2019,Sølv,Forhjulsdrift,141 Hk,1.6 l,1 420 kg,26 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,DR70150,KMHC751DGKU143378,750 kg
342050851,2019,117 500 km,Manuell,Diesel,1 476 kr (avgifter),23.04.2019,Hvit,Forhjulsdrift,102 Hk,2 l,1 452 kg,127 g/km,2,Kasse,4,1,Norge,Bruktbil til salgs,Varebil,KJ42499,WV1ZZZ2KZKX089161,1 500 kg
342050580,2019,115 500 km,Automat,Diesel,4 305 kr (avgifter),13.11.2019,Hvit,Forhjulsdrift,131 Hk,1.5 l,1 518 kg,109 g/km,5,SUV/Offroad,5,1,Norge,Bruktbil til salgs,Personbil,BE23161,VF3MCYHZRKS405120,1 300 kg
342047625,2019,93 000 km,Automat,Diesel,1 476 kr (avgifter),21.05.2019,Blå,Firehjulsdrift,200 Hk,3.2 l,2 241 kg,228 g/km,2,Pickup,4,1,Norge,Bruktbil til salgs,Varebil,PD66647,6FPPXXMJ2PKK73438,3 500 kg
342026784,2019,92 500 km,Automat,Bensin,4 305 kr (avgifter),20.03.2019,Hvit,Firehjulsdrift,565 Hk,5 l,2 449 kg,298 g/km,5,SUV/Offroad,5,2,Norge,Bruktbil til salgs,Personbil,BT94566,SALGA2BE9KA530635,3 500 kg
342026624,2019,62 345 km,Automat,El + Bensin,4 305 kr (avgifter),07.06.2019,Grå,Firehjulsdrift,404 Hk,2 l,2 579 kg,72 g/km,5,SUV/Offroad,5,3,Norge,Bruktbil til salgs,Personbil,BT96514,SALGA2BY9KA540544,2 500 kg
342026451,2019,77 213 km,Automat,Diesel,4 305 kr (avgifter),05.02.2019,Grå,Firehjulsdrift,306 Hk,3 l,2 305 kg,201 g/km,7,SUV/Offroad,5,2,Norge,Bruktbil til salgs,Personbil,RL38121,SALRA2BKXKA091508,3 500 kg
