,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Omregistrering,1. gang registrert,Hjuldrift,Effekt,Vekt,Antall seter,Karosseri,Antall dører,Salgsform,Avgiftsklasse,Maksimal tilhengervekt
2484,340248743,2007,362 500 km,Automat,Diesel,1 845 kr (avgifter),05.12.2006,Firehjulsdrift,185 Hk,2 144 kg,7,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 250 kg
2485,340105069,2007,158 111 km,Manuell,Diesel,3 074 kr (avgifter),13.11.2007,Forhjulsdrift,109 Hk,1 090 kg,4,Kombi 3-dørs,3,Bruktbil til salgs,Personbil,750 kg
2486,340244809,2010,209 300 km,Manuell,Diesel,1 845 kr (avgifter),31.05.2010,Forhjulsdrift,116 Hk,1 576 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 800 kg
2487,340222244,2013,235 000 km,Manuell,Diesel,1 476 kr (avgifter),15.10.2013,Bakhjulsdrift,126 Hk,1 925 kg,3,Kasse,4,Bruktbil til salgs,Varebil,3 500 kg
2488,340226540,2008,171 000 km,Manuell,Diesel,1 845 kr (avgifter),11.07.2008,Forhjulsdrift,110 Hk,1 407 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 300 kg
2491,340202028,2009,190 662 km,Manuell,Diesel,1 845 kr (avgifter),30.09.2009,Forhjulsdrift,109 Hk,1 425 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 300 kg
2492,306404959,2010,166 000 km,Manuell,Diesel,1 777 kr (avgifter),27.01.2010,Forhjulsdrift,109 Hk,1 319 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 300 kg
2493,340187630,2013,160 700 km,Manuell,Bensin,3 074 kr (avgifter),05.06.2013,Forhjulsdrift,84 Hk,970 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,850 kg
2495,340164343,2010,193 929 km,Manuell,Diesel,1 853 kr (avgifter),01.11.2010,Forhjulsdrift,90 Hk,1 205 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 000 kg
2496,340162994,2010,164 900 km,Manuell,Bensin,1 845 kr (avgifter),14.01.2010,Forhjulsdrift,101 Hk,1 250 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 000 kg
2497,340155536,2011,190 500 km,Manuell,Diesel,Fritatt (avgifter),12.01.2011,Forhjulsdrift,105 Hk,1 140 kg,4,Kombi 3-dørs,2,Bruktbil til salgs,Personbil,1 200 kg
2498,340144008,2010,168 000 km,Manuell,Diesel,1 845 kr (avgifter),17.09.2010,Forhjulsdrift,92 Hk,1 277 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 200 kg
2500,339404749,2008,110 000 km,Automat,Diesel,Fritatt (avgifter),13.08.2008,Forhjulsdrift,140 Hk,1 595 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 500 kg
2501,334644859,2010,232 336 km,Manuell,Diesel,1 845 kr (avgifter),25.05.2010,Forhjulsdrift,120 Hk,1 530 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 300 kg
2502,339969447,2009,113 000 km,Manuell,Bensin,1 845 kr (avgifter),11.03.2009,Bakhjulsdrift,122 Hk,1 340 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 200 kg
2506,339995757,2003,266 000 km,Automat,Bensin,1 845 kr (avgifter),01.04.2003,Bakhjulsdrift,163 Hk,1 670 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,2 100 kg
2507,339968298,2009,106 000 km,Manuell,Diesel,1 845 kr (avgifter),03.06.2009,Forhjulsdrift,90 Hk,1 055 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 050 kg
2508,339956061,2007,201 000 km,Manuell,Diesel,1 845 kr (avgifter),29.06.2007,Forhjulsdrift,109 Hk,1 373 kg,4,Coupe,2,Bruktbil til salgs,Personbil,1 300 kg
2510,339930175,2014,150 000 km,Manuell,Diesel,Fritatt (avgifter),30.12.2013,Forhjulsdrift,101 Hk,1 881 kg,3,Kasse,4,Bruktbil til salgs,Varebil,2 350 kg
2513,339933035,2008,216 000 km,Manuell,Diesel,1 845 kr (avgifter),20.08.2008,Forhjulsdrift,136 Hk,1 655 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 800 kg
2515,333430126,2009,219 000 km,Manuell,Diesel,1 777 kr (avgifter),16.07.2009,Bakhjulsdrift,116 Hk,1 370 kg,5,Kombi 3-dørs,2,Bruktbil til salgs,Personbil,1 200 kg
2516,329653336,2002,229 000 km,Manuell,Bensin,1 777 kr (avgifter),05.01.2015,Bakhjulsdrift,116 Hk,1 310 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 250 kg
2518,339847046,2007,139 766 km,Manuell,Diesel,1 231 kr (avgifter),12.12.2006,Forhjulsdrift,114 Hk,1 800 kg,3,Kasse,5,Bruktbil til salgs,Varebil,2 000 kg
2519,339839471,2012,202 000 km,Manuell,Diesel,1 845 kr (avgifter),18.07.2011,Firehjulsdrift,105 Hk,1 400 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 600 kg
2521,339705870,2003,281 000 km,Automat,Diesel,1 845 kr (avgifter),31.10.2007,Bakhjulsdrift,163 Hk,1 715 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,2 000 kg
