,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Omregistrering,1. gang registrert,Hjuldrift,Effekt,Vekt,Antall seter,Karosseri,Antall dører,Salgsform,Avgiftsklasse,Maksimal tilhengervekt
6398,342427086,2013,154 000 km,Automat,Diesel,3 074 kr (avgifter),27.09.2013,Forhjulsdrift,92 Hk,1 090 kg,5,Cabriolet,3,Bruktbil til salgs,Personbil,1 150 kg
6399,338480129,2014,166 516 km,Automat,Diesel,4 305 kr (avgifter),17.09.2013,Forhjulsdrift,105 Hk,1 482 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 400 kg
6401,338468274,2012,165 000 km,Manuell,Diesel,1 845 kr (avgifter),15.08.2011,Forhjulsdrift,110 Hk,1 468 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 800 kg
6402,338466564,2014,118 600 km,Manuell,Diesel,3 074 kr (avgifter),08.01.2014,Forhjulsdrift,93 Hk,1 160 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 270 kg
6403,338432117,2012,118 362 km,Automat,Diesel,1 231 kr (avgifter),08.11.2011,Forhjulsdrift,140 Hk,1 528 kg,2,Flerbruksbil,5,Bruktbil til salgs,Varebil,1 500 kg
6404,338415157,2006,136 000 km,Automat,Diesel,1 845 kr (avgifter),08.02.2006,Bakhjulsdrift,163 Hk,1 350 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
6405,338404435,2018,131 580 km,Automat,Diesel,Ikke oppgitt (avgifter),12.12.2017,Forhjulsdrift,99 Hk,1 411 kg,3,Kasse,4,Bruktbil til salgs,Varebil,1 200 kg
6407,338379670,2012,115 000 km,Automat,Bensin,1 845 kr (avgifter),08.03.2012,Forhjulsdrift,117 Hk,1 308 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 250 kg
6411,338315316,2011,158 000 km,Automat,Diesel,1 845 kr (avgifter),07.07.2010,Forhjulsdrift,105 Hk,1 265 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 400 kg
6413,338269976,2010,112 000 km,Automat,Bensin,1 845 kr (avgifter),28.07.2009,Forhjulsdrift,122 Hk,1 316 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 300 kg
6415,338253463,2018,222 194 km,Automat,Bensin,1 476 kr (avgifter),30.04.2018,Forhjulsdrift,125 Hk,1 348 kg,2,Kasse,6,Bruktbil til salgs,Varebil,1 500 kg
6417,338244813,2011,201 500 km,Automat,Diesel,1 845 kr (avgifter),07.11.2011,Forhjulsdrift,140 Hk,1 517 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,2 000 kg
6419,338243142,2015,118 217 km,Manuell,Diesel,Fritatt (avgifter),23.05.2014,Forhjulsdrift,128 Hk,1 308 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 300 kg
6424,338132446,2010,125 100 km,Automat,Bensin,1 845 kr (avgifter),06.05.2010,Firehjulsdrift,111 Hk,1 265 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
6425,338077295,2013,110 000 km,Manuell,Bensin,4 305 kr (avgifter),13.11.2013,Forhjulsdrift,125 Hk,1 418 kg,5,Flerbruksbil,5,Bruktbil til salgs,Personbil,900 kg
6426,337974091,2014,152 010 km,Automat,Diesel,Fritatt (avgifter),27.12.2013,Forhjulsdrift,163 Hk,1 744 kg,3,Kasse,5,Bruktbil til salgs,Varebil,1 800 kg
6428,337873786,2017,192 262 km,Manuell,Bensin,1 476 kr (avgifter),16.11.2016,Forhjulsdrift,125 Hk,1 320 kg,2,Kasse,5,Bruktbil til salgs,Varebil,1 400 kg
6432,335762103,2008,190 000 km,Automat,Diesel,1 845 kr (avgifter),17.06.2008,Bakhjulsdrift,265 Hk,1 755 kg,5,Coupe,4,Bruktbil til salgs,Personbil,1 850 kg
6434,337615507,2013,187 000 km,Automat,Diesel,4 305 kr (avgifter),29.05.2013,Forhjulsdrift,140 Hk,1 516 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 800 kg
6438,337565537,2010,135 000 km,Manuell,Diesel,1 231 kr (avgifter),26.02.2010,Forhjulsdrift,102 Hk,1 687 kg,3,Kasse,5,Bruktbil til salgs,Varebil,2 200 kg
6439,337547356,2011,243 000 km,Manuell,Diesel,1 845 kr (avgifter),03.01.2011,Firehjulsdrift,143 Hk,1 630 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 700 kg
6441,337526486,2014,187 000 km,Automat,Diesel,1 476 kr (avgifter),29.04.2014,Forhjulsdrift,177 Hk,1 466 kg,2,Kombi 5-dørs,5,Bruktbil til salgs,Varebil,1 600 kg
6442,337517237,2013,95 300 km,Manuell,Bensin,Ikke oppgitt (avgifter),07.05.2013,Forhjulsdrift,135 Hk,1 305 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 200 kg
6444,337469404,2015,90 880 km,Manuell,Diesel,1 476 kr (avgifter),27.08.2015,Forhjulsdrift,75 Hk,1 280 kg,2,Kasse,4,Bruktbil til salgs,Varebil,1 050 kg
6445,337426279,2010,225 000 km,Manuell,Diesel,1 845 kr (avgifter),23.12.2009,Firehjulsdrift,150 Hk,1 684 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 700 kg
6446,337419363,2008,195 000 km,Manuell,Diesel,1 845 kr (avgifter),30.04.2008,Firehjulsdrift,136 Hk,1 590 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 000 kg
6447,337385227,2016,162 000 km,Manuell,Diesel,Fritatt (avgifter),30.06.2016,Firehjulsdrift,99 Hk,1 484 kg,3,Kasse,4,Bruktbil til salgs,Varebil,1 230 kg
6448,342428025,2015,185 124 km,Automat,Diesel,1 476 kr (avgifter),20.10.2014,Forhjulsdrift,102 Hk,1 361 kg,2,Kasse,4,Bruktbil til salgs,Varebil,1 500 kg
6449,338273920,2016,120 000 km,Manuell,Bensin,3 074 kr (avgifter),15.12.2015,Forhjulsdrift,110 Hk,1 090 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 270 kg
6455,337290628,1993,343 000 km,Manuell,Bensin,Fritatt (avgifter),25.11.1993,Bakhjulsdrift,136 Hk,1 270 kg,5,Sedan,5,Bruktbil til salgs,Personbil,1 270 kg
6456,337282622,2018,54 470 km,Automat,Elektrisitet,1 476 kr (avgifter),27.11.2018,Forhjulsdrift,60 Hk,1 510 kg,2,Kasse,5,Bruktbil til salgs,Varebil,322 kg
6457,337202781,2013,103 800 km,Manuell,Diesel,1 476 kr (avgifter),02.10.2013,Forhjulsdrift,90 Hk,1 280 kg,2,Kasse,5,Bruktbil til salgs,Varebil,1 050 kg
6458,337201815,2016,140 000 km,Automat,Diesel,1 476 kr (avgifter),30.05.2016,Forhjulsdrift,120 Hk,1 600 kg,2,Kasse,5,Bruktbil til salgs,Varebil,1 050 kg
6459,337171344,2018,70 000 km,Automat,Elektrisitet,1 476 kr (avgifter),24.05.2018,Forhjulsdrift,60 Hk,1 430 kg,2,Kasse,4,Bruktbil til salgs,Varebil,374 kg
6460,337043159,2015,210 000 km,Manuell,Diesel,1 476 kr (avgifter),30.09.2014,Firehjulsdrift,110 Hk,1 541 kg,2,Kasse,5,Bruktbil til salgs,Varebil,1 450 kg
6465,336643646,2012,97 800 km,Manuell,Bensin,1 845 kr (avgifter),23.05.2012,Bakhjulsdrift,136 Hk,1 365 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
6466,336642153,2014,111 000 km,Manuell,Diesel,4 305 kr (avgifter),26.06.2014,Forhjulsdrift,116 Hk,1 298 kg,5,Flerbruksbil,4,Bruktbil til salgs,Personbil,1 600 kg
6469,336614242,2016,110 090 km,Manuell,Bensin,3 074 kr (avgifter),23.05.2016,Forhjulsdrift,86 Hk,1 154 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 100 kg
6470,336573318,2014,209 950 km,Automat,Bensin,4 305 kr (avgifter),01.09.2014,Forhjulsdrift,99 Hk,1 335 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,345 kg
6475,336022571,2008,193 000 km,Automat,Diesel,1 777 kr (avgifter),31.03.2008,Bakhjulsdrift,163 Hk,1 595 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 800 kg
6477,336374033,2014,175 269 km,Manuell,Diesel,4 305 kr (avgifter),24.06.2014,Firehjulsdrift,114 Hk,1 425 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 300 kg
6478,336321593,2014,212 400 km,Automat,Bensin,1 476 kr (avgifter),29.03.2014,Forhjulsdrift,150 Hk,1 541 kg,3,Kasse,6,Bruktbil til salgs,Varebil,1 200 kg
6482,336021933,2018,46 000 km,Automat,Elektrisitet,Fritatt (avgifter),27.11.2018,Forhjulsdrift,60 Hk,1 510 kg,2,Kasse,5,Bruktbil til salgs,Varebil,322 kg
6483,336015899,2015,132 000 km,Manuell,Diesel,1 476 kr (avgifter),31.07.2015,Forhjulsdrift,101 Hk,1 881 kg,3,Kasse,4,Bruktbil til salgs,Varebil,2 350 kg
6484,336015545,2009,154 900 km,Automat,Diesel,1 845 kr (avgifter),05.05.2009,Bakhjulsdrift,143 Hk,1 520 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 600 kg
6488,335872223,2013,197 500 km,Automat,Diesel,1 845 kr (avgifter),30.04.2013,Forhjulsdrift,114 Hk,1 420 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 400 kg
6490,335826533,2010,296 350 km,Automat,Diesel,1 845 kr (avgifter),19.06.2009,Firehjulsdrift,163 Hk,1 733 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 000 kg
6494,335748771,2016,87 100 km,Manuell,Diesel,1 476 kr (avgifter),30.09.2016,Forhjulsdrift,75 Hk,1 132 kg,2,Kasse,5,Bruktbil til salgs,Varebil,500 kg
6496,327109413,2013,82 700 km,Manuell,Bensin,3 074 kr (avgifter),05.04.2013,Forhjulsdrift,90 Hk,1 027 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 000 kg
6500,335596645,2017,34 600 km,Manuell,Elektrisitet,1 476 kr (avgifter),07.02.2017,Forhjulsdrift,109 Hk,1 587 kg,2,Kasse,5,Bruktbil til salgs,Varebil,430 kg
6503,335463480,2005,201 973 km,Automat,Diesel,1 845 kr (avgifter),17.03.2005,Bakhjulsdrift,177 Hk,1 595 kg,5,Sedan,5,Bruktbil til salgs,Personbil,2 000 kg
6504,335372348,2013,63 279 km,Manuell,Diesel,1 422 kr (avgifter),02.01.2013,Forhjulsdrift,114 Hk,1 953 kg,3,Kasse,6,Bruktbil til salgs,Varebil,2 000 kg
6505,335367511,2014,121 000 km,Manuell,Bensin,3 074 kr (avgifter),31.07.2014,Forhjulsdrift,86 Hk,1 075 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,900 kg
6508,322236153,2014,108 945 km,Manuell,Diesel,1 422 kr (avgifter),28.08.2014,Forhjulsdrift,75 Hk,1 431 kg,3,Kasse,4,Bruktbil til salgs,Varebil,1 200 kg
6511,334624812,2017,62 500 km,Manuell,Diesel,Fritatt (avgifter),28.11.2017,Forhjulsdrift,95 Hk,1 206 kg,2,Stasjonsvogn,5,Bruktbil til salgs,Varebil,500 kg
6512,334624267,2015,145 000 km,Manuell,Bensin,Fritatt (avgifter),23.04.2015,Forhjulsdrift,110 Hk,1 080 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
6513,334583044,2013,119 900 km,Automat,Bensin,4 305 kr (avgifter),28.02.2013,Forhjulsdrift,105 Hk,1 230 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 200 kg
6515,334497591,2015,64 500 km,Manuell,Bensin,3 074 kr (avgifter),04.11.2015,Forhjulsdrift,90 Hk,1 124 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
6516,334348494,2011,195 000 km,Manuell,Diesel,1 777 kr (avgifter),29.08.2011,Firehjulsdrift,150 Hk,1 780 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,2 500 kg
6521,333947213,2011,111 000 km,Automat,Bensin,1 845 kr (avgifter),29.07.2011,Forhjulsdrift,99 Hk,1 260 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
6522,333912391,2011,254 518 km,Automat,Diesel,1 845 kr (avgifter),25.01.2011,Forhjulsdrift,163 Hk,1 617 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 600 kg
6523,333884928,2008,139 000 km,Manuell,Diesel,1 845 kr (avgifter),23.04.2008,Firehjulsdrift,140 Hk,1 570 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 425 kg
6526,333659871,2012,63 595 km,Manuell,Bensin,1 845 kr (avgifter),30.01.2012,Forhjulsdrift,69 Hk,997 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,800 kg
6528,333649866,2015,171 000 km,Manuell,Diesel,1 422 kr (avgifter),05.08.2015,Forhjulsdrift,102 Hk,1 343 kg,2,Kasse,5,Bruktbil til salgs,Varebil,1 500 kg
6529,333645111,2011,156 700 km,Automat,Bensin,1 777 kr (avgifter),29.12.2011,Forhjulsdrift,97 Hk,1 145 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,800 kg
6531,333533009,2011,157 000 km,Automat,Diesel,1 845 kr (avgifter),12.10.2010,Forhjulsdrift,140 Hk,1 760 kg,5,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 800 kg
6534,333343729,2012,111 300 km,Manuell,Diesel,1 777 kr (avgifter),13.12.2011,Forhjulsdrift,110 Hk,1 468 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 800 kg
6536,333319824,2012,113 700 km,Manuell,Diesel,4 147 kr (avgifter),10.05.2012,Forhjulsdrift,114 Hk,1 502 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 300 kg
6542,333141622,2014,85 000 km,Manuell,Bensin,3 074 kr (avgifter),21.10.2013,Forhjulsdrift,90 Hk,1 178 kg,5,Flerbruksbil,4,Bruktbil til salgs,Personbil,1 300 kg
6545,332973372,2016,153 000 km,Manuell,Diesel,1 422 kr (avgifter),01.08.2016,Firehjulsdrift,99 Hk,1 484 kg,3,Kasse,5,Bruktbil til salgs,Varebil,1 230 kg
6546,332903356,2013,132 000 km,Manuell,Diesel,Fritatt (avgifter),01.10.2012,Forhjulsdrift,114 Hk,1 476 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 300 kg
6548,332813313,2005,279 147 km,Automat,Diesel,1 845 kr (avgifter),10.03.2005,Firehjulsdrift,166 Hk,2 000 kg,8,SUV/Offroad,4,Bruktbil til salgs,Personbil,2 800 kg
6549,332794468,2011,81 400 km,Manuell,Diesel,1 231 kr (avgifter),02.05.2011,Forhjulsdrift,75 Hk,1 359 kg,2,Kasse,4,Bruktbil til salgs,Varebil,1 400 kg
6553,332663243,2008,54 500 km,Manuell,Diesel,1 845 kr (avgifter),18.06.2007,Forhjulsdrift,105 Hk,1 573 kg,5,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 500 kg
6557,332557977,2013,174 800 km,Automat,Diesel,4 147 kr (avgifter),25.09.2013,Forhjulsdrift,170 Hk,1 482 kg,5,Sedan,5,Bruktbil til salgs,Personbil,1 800 kg
6559,332469819,2013,215 000 km,Manuell,Diesel,4 147 kr (avgifter),16.01.2013,Firehjulsdrift,136 Hk,1 525 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 000 kg
6560,332468648,2016,140 000 km,Manuell,Diesel,1 476 kr (avgifter),17.06.2016,Firehjulsdrift,99 Hk,1 484 kg,3,Kasse,6,Bruktbil til salgs,Varebil,1 230 kg
6562,332451073,2014,189 528 km,Manuell,Diesel,4 305 kr (avgifter),27.02.2014,Firehjulsdrift,136 Hk,1 525 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 000 kg
6567,331921811,2014,179 000 km,Manuell,Bensin,4 305 kr (avgifter),08.04.2014,Forhjulsdrift,120 Hk,1 205 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 300 kg
6569,331768569,2017,112 327 km,Manuell,Bensin,2 961 kr (avgifter),28.02.2017,Forhjulsdrift,101 Hk,1 055 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,900 kg
6572,331722439,2013,161 000 km,Manuell,Bensin,4 147 kr (avgifter),04.10.2012,Forhjulsdrift,125 Hk,1 424 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 400 kg
6574,331537582,2011,193 000 km,Automat,Diesel,1 777 kr (avgifter),29.06.2010,Forhjulsdrift,170 Hk,1 519 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 800 kg
6575,331169851,2007,303 000 km,Automat,Diesel,1 777 kr (avgifter),26.10.2007,Firehjulsdrift,190 Hk,2 429 kg,7,SUV/Offroad,5,Bruktbil til salgs,Personbil,3 500 kg
6577,330984433,2014,217 000 km,Manuell,Diesel,Fritatt (avgifter),12.08.2013,Forhjulsdrift,114 Hk,1 738 kg,3,Kasse,6,Bruktbil til salgs,Varebil,2 200 kg
6578,330950148,2014,143 101 km,Manuell,Diesel,4 147 kr (avgifter),30.04.2014,Forhjulsdrift,110 Hk,1 430 kg,7,Flerbruksbil,4,Bruktbil til salgs,Personbil,1 300 kg
6581,330669420,2017,102 077 km,Manuell,Diesel,Fritatt (avgifter),04.08.2017,Forhjulsdrift,99 Hk,1 396 kg,3,Kasse,5,Bruktbil til salgs,Varebil,1 200 kg
6584,330518748,2005,190 300 km,Automat,Bensin,1 777 kr (avgifter),06.09.2004,Firehjulsdrift,325 Hk,2 051 kg,7,Stasjonsvogn,5,Bruktbil til salgs,Personbil,2 268 kg
6586,330478010,2011,211 300 km,Manuell,Diesel,1 777 kr (avgifter),05.09.2012,Forhjulsdrift,163 Hk,1 602 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 600 kg
6587,330464524,2012,175 900 km,Manuell,Diesel,1 845 kr (avgifter),04.09.2012,Forhjulsdrift,114 Hk,1 476 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 300 kg
6589,330263943,2014,137 000 km,Automat,Diesel,2 961 kr (avgifter),04.12.2013,Forhjulsdrift,92 Hk,1 170 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,820 kg
6590,329989111,2007,180 000 km,Automat,Bensin,1 777 kr (avgifter),20.11.2007,Firehjulsdrift,150 Hk,1 470 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 500 kg
6592,329849532,2012,244 700 km,Automat,Bensin,4 147 kr (avgifter),04.06.2012,Forhjulsdrift,179 Hk,1 630 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 500 kg
6593,329835512,2013,186 500 km,Automat,Bensin,4 147 kr (avgifter),23.01.2013,Forhjulsdrift,122 Hk,1 350 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
6594,329599353,2011,177 000 km,Automat,Diesel,1 845 kr (avgifter),18.04.2011,Forhjulsdrift,140 Hk,1 895 kg,7,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 800 kg
6595,329553912,2018,61 000 km,Automat,Elektrisitet,1 476 kr (avgifter),19.03.2018,Forhjulsdrift,60 Hk,1 430 kg,2,Kasse,3,Bruktbil til salgs,Varebil,374 kg
6597,329447180,2014,211 000 km,Automat,Elektrisitet,3 074 kr (avgifter),10.03.2014,Bakhjulsdrift,170 Hk,1 195 kg,4,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
6598,329433732,2012,93 800 km,Manuell,Bensin,1 777 kr (avgifter),30.09.2011,Forhjulsdrift,105 Hk,1 245 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
6599,329433109,2011,244 000 km,Manuell,Diesel,1 777 kr (avgifter),30.06.2011,Firehjulsdrift,150 Hk,1 647 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 000 kg
6601,329211152,2010,171 730 km,Manuell,Diesel,1 845 kr (avgifter),06.12.2010,Firehjulsdrift,152 Hk,1 760 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 000 kg
6603,328848639,2013,102 000 km,Manuell,Diesel,1 476 kr (avgifter),19.08.2013,Forhjulsdrift,90 Hk,1 430 kg,2,Pickup,5,Bruktbil til salgs,Varebil,1 000 kg
6604,328570806,2012,94 500 km,Manuell,Diesel,4 147 kr (avgifter),30.11.2012,Firehjulsdrift,114 Hk,1 425 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,1 300 kg
6605,328671017,2013,156 000 km,Manuell,Bensin,Fritatt (avgifter),19.12.2012,Forhjulsdrift,135 Hk,1 305 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,1 200 kg
6608,328159340,2017,116 763 km,Manuell,Diesel,Fritatt (avgifter),13.10.2016,Forhjulsdrift,99 Hk,1 340 kg,3,Kasse,5,Bruktbil til salgs,Varebil,1 250 kg
6609,327997179,2017,56 100 km,Automat,Elektrisitet,1 476 kr (avgifter),07.02.2017,Forhjulsdrift,109 Hk,1 494 kg,2,Kasse,6,Bruktbil til salgs,Varebil,430 kg
6612,327803921,2015,105 000 km,Manuell,Diesel,1 422 kr (avgifter),20.05.2015,Firehjulsdrift,90 Hk,1 410 kg,3,Kasse,5,Bruktbil til salgs,Varebil,910 kg
6614,327705098,2013,129 000 km,Manuell,Diesel,Fritatt (avgifter),16.11.2012,Forhjulsdrift,105 Hk,1 515 kg,7,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 500 kg
6615,327691371,2013,219 000 km,Manuell,Diesel,Fritatt (avgifter),26.09.2012,Forhjulsdrift,131 Hk,1 975 kg,3,Kasse,4,Bruktbil til salgs,Varebil,2 500 kg
6616,327535945,2011,173 000 km,Manuell,Diesel,1 845 kr (avgifter),29.02.2012,Firehjulsdrift,163 Hk,1 911 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 000 kg
6619,326888073,2010,142 000 km,Manuell,Diesel,1 845 kr (avgifter),28.04.2010,Forhjulsdrift,109 Hk,1 481 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 300 kg
6620,326869310,2016,148 000 km,Manuell,Diesel,1 422 kr (avgifter),06.06.2016,Forhjulsdrift,120 Hk,1 428 kg,3,Kasse,6,Bruktbil til salgs,Varebil,1 200 kg
6621,326586415,2009,149 926 km,Manuell,Diesel,1 845 kr (avgifter),22.09.2009,Firehjulsdrift,90 Hk,1 240 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,800 kg
6622,326234533,2014,155 500 km,Manuell,Diesel,4 147 kr (avgifter),18.06.2014,Forhjulsdrift,114 Hk,1 295 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 550 kg
6623,326073635,2013,183 000 km,Automat,Diesel,4 147 kr (avgifter),09.04.2013,Forhjulsdrift,114 Hk,1 673 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 300 kg
6624,326059868,2012,107 000 km,Automat,Diesel,1 845 kr (avgifter),17.02.2012,Forhjulsdrift,111 Hk,1 595 kg,7,Flerbruksbil,5,Bruktbil til salgs,Personbil,900 kg
6626,325953122,2014,103 600 km,Automat,Bensin,3 074 kr (avgifter),07.05.2014,Forhjulsdrift,82 Hk,1 055 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,770 kg
6627,325899083,2002,258 000 km,Automat,Bensin,1 845 kr (avgifter),22.08.2002,Firehjulsdrift,280 Hk,1 770 kg,5,Sedan,5,Bruktbil til salgs,Personbil,2 300 kg
6628,325732204,2014,148 900 km,Manuell,Diesel,1 476 kr (avgifter),03.07.2014,Forhjulsdrift,102 Hk,1 343 kg,2,Kasse,4,Bruktbil til salgs,Varebil,1 500 kg
6629,325152083,2014,163 000 km,Manuell,Diesel,4 305 kr (avgifter),14.05.2014,Forhjulsdrift,114 Hk,1 396 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 300 kg
6631,325016363,2019,102 643 km,Manuell,Diesel,1 422 kr (avgifter),15.02.2019,Forhjulsdrift,95 Hk,1 430 kg,3,Pickup,2,Bruktbil til salgs,Varebil,1 000 kg
6632,324912841,2011,137 500 km,Automat,Bensin,1 777 kr (avgifter),14.12.2010,Forhjulsdrift,147 Hk,1 480 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,1 600 kg
6633,324891185,2009,46 700 km,Manuell,Bensin,1 845 kr (avgifter),11.11.2008,Forhjulsdrift,99 Hk,1 310 kg,5,Sedan,5,Bruktbil til salgs,Personbil,1 200 kg
6644,323297665,2008,119 000 km,Manuell,Diesel,1 845 kr (avgifter),13.06.2008,Forhjulsdrift,105 Hk,1 614 kg,7,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 500 kg
6645,323242993,2019,32 000 km,Manuell,Diesel,1 422 kr (avgifter),02.05.2019,Forhjulsdrift,95 Hk,1 320 kg,2,Kasse,4,Bruktbil til salgs,Varebil,1 000 kg
6647,322595277,2001,124 900 km,Automat,Bensin,1 845 kr (avgifter),16.05.2001,Bakhjulsdrift,197 Hk,1 590 kg,4,Cabriolet,2,Bruktbil til salgs,Personbil,1 500 kg
6649,322441991,2014,91 800 km,Manuell,Bensin,3 074 kr (avgifter),03.01.2014,Forhjulsdrift,125 Hk,1 165 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 400 kg
6653,321935842,2012,151 500 km,Manuell,Diesel,1 845 kr (avgifter),17.08.2012,Firehjulsdrift,114 Hk,1 425 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 300 kg
6656,321233701,2011,122 800 km,Automat,Diesel,1 845 kr (avgifter),28.02.2011,Forhjulsdrift,101 Hk,1 571 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
6657,321181869,2014,280 670 km,Manuell,Diesel,4 305 kr (avgifter),30.09.2013,Firehjulsdrift,105 Hk,1 360 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 700 kg
6660,320403998,2015,102 000 km,Manuell,Bensin,4 305 kr (avgifter),27.05.2015,Forhjulsdrift,125 Hk,1 205 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
6661,320348938,2010,116 000 km,Manuell,Bensin,1 777 kr (avgifter),01.07.2010,Forhjulsdrift,170 Hk,1 595 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 400 kg
6662,320320685,2012,106 800 km,Manuell,Bensin,1 845 kr (avgifter),30.05.2012,Forhjulsdrift,86 Hk,1 065 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 000 kg
6663,319826112,2007,337 400 km,Automat,Diesel,1 845 kr (avgifter),12.04.2007,Firehjulsdrift,174 Hk,2 267 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,3 500 kg
6665,319183735,2012,94 000 km,Automat,Diesel,1 845 kr (avgifter),27.04.2012,Forhjulsdrift,110 Hk,1 290 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 300 kg
6666,318833922,2008,194 128 km,Automat,Diesel,1 845 kr (avgifter),12.03.2008,Firehjulsdrift,177 Hk,1 825 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 700 kg
6667,318776566,2011,117 250 km,Manuell,Diesel,1 186 kr (avgifter),21.10.2020,Bakhjulsdrift,163 Hk,2 160 kg,3,Kasse,5,Bruktbil til salgs,Varebil,2 000 kg
