Finnkode,Equipment
341209806,"[""Air Condition"", ""Airbag foran"", ""El.vinduer"", ""Elektriske speil"", ""Hengerfeste, fast krok"", ""Sentrall\u00e5s"", ""Sommerhjul"", ""Vinterhjul""]"
341203941,[]
331220004,"[""ABS-bremser"", ""AUX-inngang"", ""Bluetooth"", ""El.vinduer"", ""Elektriske speil"", ""Handsfree opplegg"", ""Radio DAB+"", ""Sentrall\u00e5s"", ""Sommerhjul"", ""Vinterhjul""]"
341050438,"[""ABS-bremser"", ""Air Condition"", ""Airbag foran"", ""CD-spiller"", ""Hengerfeste, fast krok"", ""Klimaanlegg"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Metallic lakk"", ""Midtarmlene"", ""Oppvarmede seter"", ""Sentrall\u00e5s"", ""Sommerhjul"", ""Vinterhjul""]"
340909672,"[""ABS-bremser"", ""Air Condition"", ""Airbag foran"", ""Antiskrens"", ""Antispinn"", ""Cruisekontroll"", ""El.vinduer"", ""Hel\u00e5rsdekk"", ""Hengerfeste, fast krok"", ""Isofix"", ""Klimaanlegg"", ""Midtarmlene"", ""Oppvarmede seter"", ""Sentrall\u00e5s"", ""Seter i helskinn"", ""Soltak/glasstak"", ""Startsperre""]"
341169224,"[""ABS-bremser"", ""AUX-inngang"", ""Air Condition"", ""Airbag foran"", ""Bluetooth"", ""CD-spiller"", ""El.vinduer"", ""Elektrisk sete u. memory"", ""Elektriske speil"", ""Hengerfeste, fast krok"", ""Klimaanlegg"", ""Kupevarmer"", ""Lasteholdere/skistativ"", ""Lettmet. felg sommer"", ""Midtarmlene"", ""Motorvarmer"", ""M\u00f8rke ruter bak"", ""Sentrall\u00e5s"", ""Sommerhjul"", ""Vinterhjul""]"
341155397,[]
341152281,"[""ABS-bremser"", ""AUX-inngang"", ""Airbag foran"", ""Bagasjeromstrekk"", ""Bluetooth"", ""Cruisekontroll"", ""Diesel-partikkelfilter"", ""El.vinduer"", ""Hengerfeste, fast krok"", ""Lasteholdere/skistativ"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Metallic lakk"", ""M\u00f8rke ruter bak"", ""Radio DAB+"", ""Radio FM"", ""Sentrall\u00e5s"", ""Takrails""]"
341146104,"[""Hel\u00e5rsdekk"", ""Hengerfeste, fast krok""]"
341140673,[]
341120830,"[""AUX-inngang"", ""Air Condition"", ""CD-spiller"", ""Cruisekontroll"", ""Elektriske speil"", ""Hel\u00e5rsdekk"", ""Klimaanlegg"", ""Multifunksjonsratt"", ""Parkeringsensor bak"", ""Parkeringsensor foran"", ""Radio FM"", ""Regnsensor"", ""Seter i helskinn"", ""Soltak/glasstak""]"
341109762,[]
331081371,"[""ABS-bremser"", ""Air Condition"", ""Airbag foran"", ""El.vinduer"", ""Elektriske speil"", ""Hengerfeste, fast krok"", ""Klimaanlegg"", ""Lettmet. felg vinter"", ""Midtarmlene"", ""Oppvarmede seter"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Sideairbager"", ""Vinterhjul""]"
341064397,"[""ABS-bremser"", ""Air Condition"", ""Airbag foran"", ""Diff.sperre"", ""El.vinduer"", ""Klimaanlegg"", ""N\u00f8kkell\u00f8s start"", ""Oppvarmede seter"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Startsperre"", ""Takrails"", ""Vinterhjul""]"
341008601,[]
340996090,[]
340998952,[]
340966839,[]
260150419,"[""ABS-bremser"", ""Air Condition"", ""Airbag foran"", ""Alarm"", ""Antiskrens"", ""Antispinn"", ""CD-spiller"", ""Cruisekontroll"", ""El.vinduer"", ""Elektrisk sete m. memory"", ""Elektriske speil"", ""Klimaanlegg"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Luftfj\u00e6ring"", ""Midtarmlene"", ""Multifunksjonsratt"", ""Niv\u00e5regulering"", ""Oppvarmede seter"", ""Parkeringsensor bak"", ""Parkeringsensor foran"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Seter i helskinn"", ""Sideairbager"", ""Soltak/glasstak"", ""Sommerhjul"", ""Vinterhjul"", ""Xenonlys""]"
340927638,"[""Air Condition"", ""Airbag foran"", ""El.vinduer"", ""Klimaanlegg"", ""Sentrall\u00e5s"", ""Sommerhjul"", ""Vinterhjul""]"
340932421,[]
340913122,[]
340894678,"[""ABS-bremser"", ""Airbag foran"", ""Bagasjeromstrekk"", ""El.vinduer"", ""Elektriske speil"", ""Oppvarmede seter"", ""Radio FM"", ""Sommerhjul"", ""Vinterhjul""]"
340895717,"[""ABS-bremser"", ""AUX-inngang"", ""Air Condition"", ""Airbag foran"", ""Antispinn"", ""Bluetooth"", ""CD-spiller"", ""Cruisekontroll"", ""El.vinduer"", ""Elektriske speil"", ""Handsfree opplegg"", ""Hengerfeste, fast krok"", ""Isofix"", ""Klimaanlegg"", ""Midtarmlene"", ""Oppvarmede seter"", ""Radio DAB+"", ""Sentrall\u00e5s"", ""Takrails"", ""Vinterhjul""]"
340896181,[]
340880672,"[""ABS-bremser"", ""Air Condition"", ""Airbag foran"", ""CD-spiller"", ""Lettmet. felg sommer"", ""Sommerhjul"", ""Vinterhjul""]"
340782840,"[""ABS-bremser"", ""AUX-inngang"", ""Air Condition"", ""Antiskrens"", ""Antispinn"", ""Bluetooth"", ""CD-spiller"", ""Cruisekontroll"", ""El.vinduer"", ""Hengerfeste, fast krok"", ""Klimaanlegg"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Metallic lakk"", ""Multifunksjonsratt"", ""M\u00f8rke ruter bak"", ""Parkeringsensor bak"", ""Parkeringsensor foran"", ""Radio FM"", ""Regnsensor"", ""Sommerhjul"", ""Takrails"", ""Vinterhjul"", ""Xenonlys""]"
340881157,"[""ABS-bremser"", ""Air Condition"", ""Airbag foran"", ""Antispinn"", ""Bluetooth"", ""CD-spiller"", ""El.vinduer"", ""Handsfree opplegg"", ""Klimaanlegg"", ""Multifunksjonsratt"", ""Oppvarmede seter"", ""Radio DAB+"", ""Radio FM"", ""Regnsensor"", ""Ryggekamera"", ""Sentrall\u00e5s"", ""Sommerhjul"", ""Vinterhjul""]"
340883848,[]
340829486,[]
340812596,[]
340805035,[]
321969199,[]
340743831,[]
340663689,"[""Air Condition"", ""El.vinduer"", ""Hengerfeste, fast krok"", ""Oppvarmede seter"", ""Radio DAB+"", ""Sommerhjul"", ""Vinterhjul""]"
340521678,[]
340572987,"[""ABS-bremser"", ""AUX-inngang"", ""Air Condition"", ""Bagasjeromstrekk"", ""Bluetooth"", ""CD-spiller"", ""El.vinduer"", ""Kj\u00f8recomputer"", ""Oppvarmede seter"", ""Radio DAB+"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Sommerhjul"", ""Vinterhjul""]"
340600507,[]
340568859,"[""ABS-bremser"", ""CD-spiller"", ""Radio FM"", ""Sommerhjul"", ""Vinterhjul""]"
340557446,[]
333797999,"[""Air Condition"", ""Airbag foran"", ""Hel\u00e5rsdekk"", ""Hengerfeste, avtagbart/svingbart"", ""Hengerfeste, fast krok"", ""Kassettspiller"", ""Klimaanlegg"", ""Sentrall\u00e5s"", ""Servostyring"", ""Takrails""]"
340513626,"[""CD-spiller"", ""El.vinduer"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Radio FM"", ""Sentrall\u00e5s"", ""Sommerhjul"", ""Vinterhjul""]"
340407823,"[""Bluetooth"", ""Lasteholdere/skistativ""]"
340339850,[]
340344685,"[""El.vinduer"", ""Sommerhjul"", ""Vinterhjul""]"
340336684,[]
