id,Finnkode,Equipment
80,182119041,"[""ABS-bremser"", ""Airbag foran"", ""Antispinn"", ""CD-spiller"", ""El.vinduer"", ""Hengerfeste"", ""Manuelt klimaanlegg"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Sommerdekk"", ""Startsperre"", ""St\u00e5lbjelker"", ""T\u00e5kelys"", ""Vinterdekk""]"
81,112044891,[]
82,341133137,"[""ABS-bremser"", ""Air Condition"", ""Airbag foran"", ""Elektriske speil"", ""Metallic lakk"", ""Midtarmlene"", ""Oppvarmede seter"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Sommerhjul"", ""Vinterhjul""]"
83,341066507,"[""ABS-bremser"", ""AUX tilkobling"", ""Airbag foran"", ""Alarm"", ""Beltevarsler"", ""CD-spiller"", ""Elektriske speil"", ""Fabrikkmontert alarm"", ""Hengerfeste"", ""Klimaanlegg"", ""Manuelt klimaanlegg"", ""Metallic lakk"", ""Midtarmlene"", ""Radio FM"", ""Regulerbart ratt"", ""Sentrall\u00e5s"", ""Servostyring"", ""Seter nedfellbare bak"", ""Skinnratt"", ""Sommerdekk"", ""Takrails"", ""Turteller"", ""USB"", ""Vinterdekk""]"
84,340060590,"[""ABS-bremser"", ""AUX-inngang"", ""Air Condition"", ""Airbag foran"", ""El.vinduer"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Metallic lakk"", ""Sentrall\u00e5s"", ""Servostyring"", ""Sommerhjul"", ""Vinterhjul""]"
85,340972845,"[""Airbag"", ""Airbag foran"", ""Elektriske vinduer"", ""Felg lettmet. sommer"", ""Felg lettmet. vinter"", ""Klimaanlegg"", ""Sommerhjul"", ""Vinterhjul (u.pigg)""]"
86,340897417,"[""ABS-bremser"", ""Airbag foran"", ""Antispinn"", ""Beltevarsler"", ""El.vinduer"", ""Fjernstyrt sentrall\u00e5s"", ""Hel\u00e5rsdekk"", ""Klimaanlegg"", ""Manuelt klimaanlegg"", ""Sentrall\u00e5s"", ""Servostyring"", ""Startsperre"", ""Takrails"", ""T\u00e5kelys""]"
87,340893279,[]
88,340888770,"[""ABS-bremser"", ""AUX-inngang"", ""Air Condition"", ""Airbag foran"", ""Antispinn"", ""Bluetooth"", ""CD-spiller"", ""El.vinduer"", ""Isofix"", ""Kj\u00f8recomputer"", ""Klimaanlegg"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Metallic lakk"", ""M\u00f8rke ruter bak"", ""Oppvarmede seter"", ""Radio DAB+"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Sommerhjul"", ""Vinterhjul""]"
89,340883353,[]
90,340881913,"[""ABS-bremser"", ""AUX tilkobling"", ""Airbag bak side"", ""Airbag foran"", ""Airbag foran side"", ""Airbag gardiner"", ""Antiskrens"", ""Antispinn"", ""Avblending av speil"", ""Beltevarsler"", ""Bluetooth"", ""Diesel-partikkelfilter"", ""Ekstra m\u00f8rktonede vinduer bak"", ""El.vinduer"", ""Elektrisk soltak"", ""Farget glass"", ""Fjernstyrt sentrall\u00e5s"", ""Isofix"", ""Kj\u00f8recomputer"", ""Kurve/t\u00e5kelys"", ""Lakkerte utvendige speil"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Metallic lakk"", ""Midtarmlene"", ""Multifunksjonsratt"", ""N\u00f8dbremseforsterker"", ""Oppvarmede seter"", ""Oppvarmede speil"", ""Pollenfilter"", ""Radio FM"", ""Regulerbart ratt"", ""Servostyring"", ""Sete multifunktion"", ""Seter nedfellbare bak"", ""Skinninteri\u00f8r"", ""Skinnratt"", ""Sommerdekk"", ""Speil innfellbare"", ""Startsperre"", ""St\u00e5lbjelker"", ""Turteller"", ""T\u00e5kelys"", ""USB"", ""Vinterdekk""]"
