Id,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Årsavgift,Farge,Hjuldrift,Effekt,Sylindervolum,Vekt,CO2utslipp,AntallSeter,Karosseri,AntallDører,AntallEiere,Avgiftsklasse,Maksimaltilhengervekt,SalePrice
147,338070384,2005,238855,Manuell,Diesel,1845,Sølv,Forhjulsdrift,109,1.6,1337,132,5,Stasjonsvogn,5,3,Personbil,1300,19845
148,340883353,2004,137125,Automat,Bensin,3074,Grå,Forhjulsdrift,65,1,915,129,5,KombiFemDørs,4,8,Personbil,650,19074
149,340813059,2014,147000,Manuell,Diesel,1476,Hvit,Forhjulsdrift,90,1.2,1365,126,2,Kasse,4,8,Varebil,1000,19476
150,340510645,2009,231000,Manuell,Diesel,1845,Svart,Forhjulsdrift,110,2,1730,159,5,Stasjonsvogn,4,10,Personbil,1600,18845
151,340776952,2007,207400,Manuell,Diesel,1845,Rød,Forhjulsdrift,109,1.6,1417,134,7,Flerbruksbil,5,2,Personbil,1300,18845
152,340727258,2007,186000,Manuell,Diesel,1845,Svart,Forhjulsdrift,109,1.6,1642,148,5,Stasjonsvogn,4,5,Personbil,1300,15845
153,340727755,2007,420000,Automat,Diesel,1845,Grå,Forhjulsdrift,163,2.4,1578,209,5,Stasjonsvogn,5,4,Personbil,1800,19845
154,340695667,2006,219000,Automat,Bensin,1845,Sølv,Firehjulsdrift,140,2,1480,232,5,SUVOffroad,5,4,Personbil,1300,16845
155,340645047,2005,88700,Manuell,Bensin,0,Svart,Forhjulsdrift,60,1,1011,123,5,KombiFemDørs,4,9,Personbil,700,18000
156,331321828,2005,131024,Manuell,Bensin,1777,Svart,Forhjulsdrift,58,1.1,935,143,5,KombiFemDørs,5,5,Personbil,1100,19777
157,340589727,2006,185996,Manuell,Diesel,1845,Rød,Forhjulsdrift,90,1.4,1235,128,5,Stasjonsvogn,5,2,Personbil,1000,19845
158,340549718,2005,119478,Manuell,Diesel,3074,Grå,Forhjulsdrift,75,1.4,950,117,5,KombiFemDørs,4,1,Personbil,900,17074
159,340476841,2005,282000,Manuell,Diesel,1845,Svart,Forhjulsdrift,90,1.9,1432,140,5,KombiFemDørs,4,8,Personbil,1300,19845
160,340446601,2009,437919,Automat,Diesel,1845,Grå,Forhjulsdrift,140,2,1597,187,5,Stasjonsvogn,4,5,Personbil,2000,17000
161,340372970,2004,186142,Manuell,Bensin,1777,Beige,Forhjulsdrift,75,1.4,1188,176,5,Stasjonsvogn,5,7,Personbil,900,17777
162,340370278,2002,296000,Automat,Diesel,1845,Blå,Bakhjulsdrift,163,2.5,1605,216,5,Sedan,5,15,Personbil,2090,16845
163,340336243,2005,137200,Manuell,Bensin,1845,Sølv,Forhjulsdrift,140,1.7,1315,205,5,Stasjonsvogn,5,7,Personbil,1300,19995
164,340321594,2002,400000,Manuell,Diesel,1845,Sølv,Bakhjulsdrift,193,2.9,1735,194,5,Stasjonsvogn,5,12,Personbil,2000,16845
165,340290640,2006,186000,Manuell,Diesel,1845,Grå,Forhjulsdrift,140,2,1668,169,7,KombiFemDørs,5,9,Personbil,1750,19845
166,340119615,2004,166357,Manuell,Bensin,1845,Svart,Forhjulsdrift,116,1.6,1220,158,5,KombiFemDørs,5,3,Personbil,1200,16845
167,340149792,2006,180708,Manuell,Bensin,3074,Sølv,Forhjulsdrift,69,1,980,127,5,KombiFemDørs,5,5,Personbil,750,17074
168,339995699,2003,67431,Automat,Bensin,3074,Grå,Forhjulsdrift,110,1.6,1175,188,5,Sedan,4,2,Personbil,1300,15074
169,340069322,2008,187680,Manuell,Diesel,1845,Svart,Forhjulsdrift,140,2,1470,149,5,Stasjonsvogn,5,4,Personbil,1600,19900
170,339964178,2003,189000,Manuell,Bensin,1875,Blå,Forhjulsdrift,110,1.6,995,144,4,KombiFemDørs,4,12,Personbil,1000,18375
171,336643799,2005,252120,Manuell,Bensin,1845,Svart,Forhjulsdrift,102,1.6,1350,187,5,Stasjonsvogn,5,11,Personbil,1200,16845
172,339881532,2005,261864,Manuell,Diesel,1845,Grå,Forhjulsdrift,105,1.9,1659,162,5,Flerbruksbil,5,9,Personbil,1500,16845
173,339877270,2005,229123,Manuell,Bensin,1845,Svart,Bakhjulsdrift,129,2,1360,175,5,Sedan,4,3,Personbil,1250,17845
174,334024807,2004,332000,Automat,Bensin,1777,Grå,Forhjulsdrift,179,2,1586,243,5,Stasjonsvogn,5,8,Personbil,1600,18777
175,339776107,2004,223713,Manuell,Bensin,1600,Blå,Forhjulsdrift,102,1.6,1487,192,5,Stasjonsvogn,4,7,Personbil,1200,16000
176,335857999,2008,217958,Manuell,Diesel,1845,Svart,Forhjulsdrift,109,1.6,1336,132,5,Stasjonsvogn,5,4,Personbil,1300,20000
177,339584300,2010,200000,Manuell,Diesel,1845,Grå,Forhjulsdrift,129,2.2,1657,139,5,Stasjonsvogn,4,2,Personbil,1400,16845
178,339516372,2007,448000,Automat,Diesel,1845,Sølv,Bakhjulsdrift,170,2.1,1735,194,5,Stasjonsvogn,5,6,Personbil,2100,16745
179,329422750,2006,344000,Automat,Diesel,1777,Grå,Firehjulsdrift,179,2.7,2033,226,5,KombiFemDørs,4,3,Personbil,1900,19777
