Finnkode,car_name,Price,Specifications,Equipment
340843847,Opel Vectra,14900,"{""Modell\u00e5r"": ""2003"", ""Kilometer"": ""263 700 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin""}","[""ABS-bremser"", ""Airbag foran"", ""Antiskrens"", ""Antispinn"", ""Bagasjeromstrekk / hattehylle"", ""Fjernstyrt sentrall\u00e5s"", ""Hel\u00e5rsdekk"", ""Hengerfeste"", ""Metallic lakk"", ""Multifunksjonsratt"", ""Radio FM"", ""Servostyring""]"
340572987,Ford Ka,14900,"{""Modell\u00e5r"": ""2010"", ""Kilometer"": ""143 900 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin""}","[""ABS-bremser"", ""AUX-inngang"", ""Air Condition"", ""Bagasjeromstrekk"", ""Bluetooth"", ""CD-spiller"", ""El.vinduer"", ""Kj\u00f8recomputer"", ""Oppvarmede seter"", ""Radio DAB+"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Sommerhjul"", ""Vinterhjul""]"
340545801,Subaru Impreza,15000,"{""Modell\u00e5r"": ""2007"", ""Kilometer"": ""146 300 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin""}","[""Bagasjeromstrekk"", ""El.vinduer"", ""Elektriske speil"", ""Isofix"", ""Klimaanlegg"", ""Lasteholdere/skistativ"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Motorvarmer"", ""Oppvarmede seter"", ""Servostyring"", ""Sommerhjul"", ""Vinterhjul""]"
340344685,Ford Fiesta,13845,"{""Modell\u00e5r"": ""2005"", ""Kilometer"": ""78 853 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin""}","[""El.vinduer"", ""Sommerhjul"", ""Vinterhjul""]"
340332504,Honda Civic,12500,"{""Modell\u00e5r"": ""2005"", ""Kilometer"": ""213 900 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin""}","[""ABS-bremser"", ""Airbag foran"", ""CD-spiller"", ""Hel\u00e5rsdekk"", ""Hengerfeste"", ""Kj\u00f8recomputer"", ""Klimaanlegg"", ""Metallic lakk"", ""Radio FM"", ""Sentrall\u00e5s""]"
340217345,Ford Focus,12000,"{""Modell\u00e5r"": ""2006"", ""Kilometer"": ""275 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin""}","[""ABS-bremser"", ""Airbag bak side"", ""Airbag foran"", ""Alarm"", ""Antiskrens"", ""Antispinn"", ""Elektriske speil"", ""Fjernstyrt sentrall\u00e5s"", ""Hengerfeste"", ""Kj\u00f8recomputer"", ""Klimaanlegg"", ""Metallic lakk"", ""Midtarmlene"", ""Oppvarmet frontrute"", ""Radio FM"", ""Regulerbart ratt"", ""Sentrall\u00e5s"", ""Servostyring"", ""Seter nedfellbare bak"", ""Skinnratt"", ""Sommerdekk"", ""Turteller"", ""T\u00e5kelys"", ""Vinterdekk""]"
340070645,Volkswagen Golf,12000,"{""Modell\u00e5r"": ""2008"", ""Kilometer"": ""214 600 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}","[""Diesel-partikkelfilter""]"
339707221,Toyota Yaris,12990,"{""Modell\u00e5r"": ""2005"", ""Kilometer"": ""200 280 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin""}",[]
339445237,Volkswagen Golf,14900,"{""Modell\u00e5r"": ""2004"", ""Kilometer"": ""181 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}",[]
339325528,Mazda 6,11845,"{""Modell\u00e5r"": ""2008"", ""Kilometer"": ""228 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}","[""ABS-bremser"", ""AUX tilkobling"", ""Airbag foran"", ""Airbag foran side"", ""Bagasjeromstrekk / hattehylle"", ""Beltevarsler"", ""CD-spiller"", ""Diesel-partikkelfilter"", ""El.vinduer"", ""Hengerfeste"", ""Isofix"", ""Klimaanlegg 2-soner"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Multifunksjonsratt"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Seter nedfellbare bak"", ""Sommerdekk"", ""Startsperre"", ""Vinterdekk""]"
