Finnkode,car_name,Link,Price
338349324,Volvo S80,https://www.finn.no/car/used/ad.html?finnkode=338349324,14345.0
338257867,Volvo S40,https://www.finn.no/car/used/ad.html?finnkode=338257867,15000.0
338025371,MINI Cooper,https://www.finn.no/car/used/ad.html?finnkode=338025371,13074.0
337965620,Ford Ka,https://www.finn.no/car/used/ad.html?finnkode=337965620,17074.0
335952689,Volvo S80,https://www.finn.no/car/used/ad.html?finnkode=335952689,12345.0
335353345,Volkswagen Caddy,https://www.finn.no/car/used/ad.html?finnkode=335353345,13231.0
337315694,Toyota Yaris,https://www.finn.no/car/used/ad.html?finnkode=337315694,14300.0
337298899,Chevrolet Nubira,https://www.finn.no/car/used/ad.html?finnkode=337298899,13845.0
337200969,Ford S-MAX,https://www.finn.no/car/used/ad.html?finnkode=337200969,15000.0
334372452,Volvo V70,https://www.finn.no/car/used/ad.html?finnkode=334372452,13777.0
337083324,Ford Transit Connect,https://www.finn.no/car/used/ad.html?finnkode=337083324,13231.0
319943933,Citroen C5,https://www.finn.no/car/used/ad.html?finnkode=319943933,11377.0
318452067,Mitsubishi Grandis,https://www.finn.no/car/used/ad.html?finnkode=318452067,13845.0
336328005,Toyota Yaris,https://www.finn.no/car/used/ad.html?finnkode=336328005,14777.0
326510990,Volvo V40,https://www.finn.no/car/used/ad.html?finnkode=326510990,11777.0
335943039,Mazda 5,https://www.finn.no/car/used/ad.html?finnkode=335943039,12800.0
335892487,Volvo V70,https://www.finn.no/car/used/ad.html?finnkode=335892487,14845.0
330101360,Opel Corsa,https://www.finn.no/car/used/ad.html?finnkode=330101360,12777.0
326820238,Honda CR-V,https://www.finn.no/car/used/ad.html?finnkode=326820238,13777.0
335181068,BMW 3-serie,https://www.finn.no/car/used/ad.html?finnkode=335181068,13845.0
335147584,Citroen Xsara Picasso,https://www.finn.no/car/used/ad.html?finnkode=335147584,14000.0
334687208,Opel Vectra,https://www.finn.no/car/used/ad.html?finnkode=334687208,11844.0
331081387,Opel Vivaro,https://www.finn.no/car/used/ad.html?finnkode=331081387,15000.0
334478152,Toyota RAV4,https://www.finn.no/car/used/ad.html?finnkode=334478152,14777.0
334094084,Citroen C3,https://www.finn.no/car/used/ad.html?finnkode=334094084,14777.0
332526123,Mitsubishi Colt,https://www.finn.no/car/used/ad.html?finnkode=332526123,13777.0
330636145,Citroen C1,https://www.finn.no/car/used/ad.html?finnkode=330636145,14900.0
329962747,Volkswagen,https://www.finn.no/car/used/ad.html?finnkode=329962747,13000.0
327965364,Saab 9-3,https://www.finn.no/car/used/ad.html?finnkode=327965364,12000.0
236024956,Chrysler Voyager,https://www.finn.no/car/used/ad.html?finnkode=236024956,12000.0
325881927,Peugeot 407,https://www.finn.no/car/used/ad.html?finnkode=325881927,11277.0
324810711,Subaru Legacy,https://www.finn.no/car/used/ad.html?finnkode=324810711,11777.0
322623632,Nissan Serena,https://www.finn.no/car/used/ad.html?finnkode=322623632,14999.0
322623878,Toyota Corolla,https://www.finn.no/car/used/ad.html?finnkode=322623878,11999.0
322694272,Mercedes-Benz S-Klasse,https://www.finn.no/car/used/ad.html?finnkode=322694272,13777.0
322689565,Mercedes-Benz E-Klasse,https://www.finn.no/car/used/ad.html?finnkode=322689565,11777.0
321179229,Chrysler Grand Voyager,https://www.finn.no/car/used/ad.html?finnkode=321179229,11186.0
320823872,Volkswagen Polo,https://www.finn.no/car/used/ad.html?finnkode=320823872,14990.0
317723015,Mitsubishi Grandis,https://www.finn.no/car/used/ad.html?finnkode=317723015,14900.0
317631626,Ford S-MAX,https://www.finn.no/car/used/ad.html?finnkode=317631626,11777.0
308729745,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=308729745,14777.0
306325555,Ford Focus,https://www.finn.no/car/used/ad.html?finnkode=306325555,14000.0
306114914,Toyota Yaris Verso,https://www.finn.no/car/used/ad.html?finnkode=306114914,11999.0
299707430,Opel Astra,https://www.finn.no/car/used/ad.html?finnkode=299707430,15000.0
182119041,Peugeot 307,https://www.finn.no/car/used/ad.html?finnkode=182119041,14900.0
112044891,Toyota Yaris,https://www.finn.no/car/used/ad.html?finnkode=112044891,11569.0
326202158,Mercedes-Benz B-Klasse,https://www.finn.no/car/used/ad.html?finnkode=326202158,16777.0
341455773,Volkswagen Transporter,https://www.finn.no/car/used/ad.html?finnkode=341455773,16231.0
341462736,Skoda Octavia,https://www.finn.no/car/used/ad.html?finnkode=341462736,15845.0
221795350,Peugeot 207,https://www.finn.no/car/used/ad.html?finnkode=221795350,19729.0
341463047,Audi A4,https://www.finn.no/car/used/ad.html?finnkode=341463047,19345.0
341273953,Volkswagen Caddy,https://www.finn.no/car/used/ad.html?finnkode=341273953,19845.0
341443455,Volkswagen Polo,https://www.finn.no/car/used/ad.html?finnkode=341443455,19500.0
341426530,Volvo V50,https://www.finn.no/car/used/ad.html?finnkode=341426530,16845.0
341423685,Ford Transit Connect,https://www.finn.no/car/used/ad.html?finnkode=341423685,20476.0
341303215,Mazda 6,https://www.finn.no/car/used/ad.html?finnkode=341303215,16345.0
341405765,Mazda 6,https://www.finn.no/car/used/ad.html?finnkode=341405765,17844.0
332356282,Ford Transit,https://www.finn.no/car/used/ad.html?finnkode=332356282,16186.0
341175878,Volkswagen Polo,https://www.finn.no/car/used/ad.html?finnkode=341175878,16074.0
341378802,Peugeot 307 CC,https://www.finn.no/car/used/ad.html?finnkode=341378802,16345.0
341382285,Toyota Corolla,https://www.finn.no/car/used/ad.html?finnkode=341382285,19845.0
341332527,Volvo XC90,https://www.finn.no/car/used/ad.html?finnkode=341332527,19995.0
341220060,BMW X5,https://www.finn.no/car/used/ad.html?finnkode=341220060,19845.0
337559609,Mercedes-Benz E-Klasse,https://www.finn.no/car/used/ad.html?finnkode=337559609,19845.0
338807796,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=338807796,18845.0
341350325,Audi A6,https://www.finn.no/car/used/ad.html?finnkode=341350325,18000.0
341344762,Ford Mondeo,https://www.finn.no/car/used/ad.html?finnkode=341344762,19845.0
331405232,BMW 3-serie,https://www.finn.no/car/used/ad.html?finnkode=331405232,16777.0
341339270,Ford Galaxy,https://www.finn.no/car/used/ad.html?finnkode=341339270,17745.0
341339015,Opel Astra,https://www.finn.no/car/used/ad.html?finnkode=341339015,16845.0
341323168,Ford Focus,https://www.finn.no/car/used/ad.html?finnkode=341323168,18500.0
341317338,Volkswagen Caddy Maxi,https://www.finn.no/car/used/ad.html?finnkode=341317338,16231.0
341296408,Toyota Avensis,https://www.finn.no/car/used/ad.html?finnkode=341296408,16845.0
341291677,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=341291677,17845.0
341285910,Volkswagen Transporter,https://www.finn.no/car/used/ad.html?finnkode=341285910,19999.0
341285616,Mercedes-Benz C-Klasse,https://www.finn.no/car/used/ad.html?finnkode=341285616,19990.0
341281873,Volvo S80,https://www.finn.no/car/used/ad.html?finnkode=341281873,17845.0
341272162,Audi A4,https://www.finn.no/car/used/ad.html?finnkode=341272162,16845.0
341267824,Saab 9-5,https://www.finn.no/car/used/ad.html?finnkode=341267824,19845.0
341223804,Peugeot 207,https://www.finn.no/car/used/ad.html?finnkode=341223804,18745.0
341273325,Nissan Qashqai,https://www.finn.no/car/used/ad.html?finnkode=341273325,20000.0
320179662,Toyota Yaris,https://www.finn.no/car/used/ad.html?finnkode=320179662,20000.0
341268568,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=341268568,18074.0
341266480,Nissan X-Trail,https://www.finn.no/car/used/ad.html?finnkode=341266480,19845.0
341263024,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=341263024,18845.0
341260808,Toyota Avensis,https://www.finn.no/car/used/ad.html?finnkode=341260808,16845.0
341238370,Toyota Avensis,https://www.finn.no/car/used/ad.html?finnkode=341238370,16345.0
341240236,Nissan X-Trail,https://www.finn.no/car/used/ad.html?finnkode=341240236,17000.0
341237989,Nissan X-Trail,https://www.finn.no/car/used/ad.html?finnkode=341237989,20000.0
341218004,Mazda 3,https://www.finn.no/car/used/ad.html?finnkode=341218004,18845.0
341219456,Toyota Yaris,https://www.finn.no/car/used/ad.html?finnkode=341219456,16845.0
341214340,Ford Mondeo,https://www.finn.no/car/used/ad.html?finnkode=341214340,19845.0
341208285,Suzuki Swift,https://www.finn.no/car/used/ad.html?finnkode=341208285,18800.0
341202275,Ford Mondeo,https://www.finn.no/car/used/ad.html?finnkode=341202275,18000.0
339653863,Cadillac Eldorado,https://www.finn.no/car/used/ad.html?finnkode=339653863,20000.0
341193325,Toyota Yaris Verso,https://www.finn.no/car/used/ad.html?finnkode=341193325,16231.0
341182604,Mitsubishi Colt,https://www.finn.no/car/used/ad.html?finnkode=341182604,19845.0
340727159,Volvo V70,https://www.finn.no/car/used/ad.html?finnkode=340727159,18845.0
341180832,Mitsubishi Pajero,https://www.finn.no/car/used/ad.html?finnkode=341180832,19845.0
331524234,Nissan Primastar,https://www.finn.no/car/used/ad.html?finnkode=331524234,16186.0
341104251,Opel Astra,https://www.finn.no/car/used/ad.html?finnkode=341104251,16845.0
341132002,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=341132002,15845.0
341133137,Mercedes-Benz B-Klasse,https://www.finn.no/car/used/ad.html?finnkode=341133137,17845.0
341136874,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=341136874,19000.0
341129800,Toyota Yaris,https://www.finn.no/car/used/ad.html?finnkode=341129800,16845.0
341126322,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=341126322,18500.0
341066507,Toyota Corolla,https://www.finn.no/car/used/ad.html?finnkode=341066507,19990.0
336249461,Mercedes-Benz E-Klasse,https://www.finn.no/car/used/ad.html?finnkode=336249461,15845.0
341032981,Mercedes-Benz C-Klasse,https://www.finn.no/car/used/ad.html?finnkode=341032981,19845.0
340060590,Mazda 2,https://www.finn.no/car/used/ad.html?finnkode=340060590,19345.0
